id,first_name,last_name,email,GPA,department,team
1,Shela,Dorrell,sdorrell0@gov.uk,2.77,Accounting,1
2,Claribel,Noddles,cnoddles1@cbc.ca,2.44,Services,2
3,Gerhard,Lounds,glounds2@china.com.cn,3.13,Services,3
4,Chastity,Enrietto,cenrietto3@nba.com,2.34,Sales,4
5,Marena,Benz,mbenz4@springer.com,2.99,Sales,5
6,Mateo,Dorman,mdorman5@multiply.com,2.14,Research and Development,6
7,Ximenes,Healey,xhealey6@fda.gov,3.14,Accounting,7
8,Free,Cadwell,fcadwell7@zdnet.com,1.22,Product Management,8
9,Raina,Sommer,rsommer8@addtoany.com,3.12,Human Resources,9
10,Corly,Joskowitz,cjoskowitz9@ustream.tv,1.57,Business Development,10
11,Alisa,Whapples,awhapplesa@hubpages.com,1.5,Services,11
12,Iago,Burdas,iburdasb@forbes.com,2.88,Business Development,12
13,Nicolle,Dorran,ndorranc@intel.com,1.9,Support,13
14,Devin,Danbye,ddanbyed@blogger.com,2.0,Legal,14
15,Pepillo,Denne,pdennee@economist.com,2.58,Legal,15
16,Lauretta,Goadby,lgoadbyf@360.cn,3.45,Support,16
17,Gonzales,Sear,gsearg@oakley.com,3.68,Support,17
18,Glennie,Cullivan,gcullivanh@feedburner.com,3.93,Support,18
19,Tersina,Stuckes,tstuckesi@sohu.com,3.23,Legal,19
20,Rickie,Copley,rcopleyj@nature.com,3.76,Research and Development,20
21,Dene,Allright,dallrightk@wiley.com,1.72,Sales,21
22,Pollyanna,Tschirschky,ptschirschkyl@stanford.edu,2.75,Training,22
23,Haily,Dowry,hdowrym@bravesites.com,2.74,Services,23
24,Linzy,Millsom,lmillsomn@infoseek.co.jp,3.15,Legal,24
25,Merissa,Fallon,mfallono@loc.gov,3.35,Research and Development,25
26,Sybilla,Lossman,slossmanp@unc.edu,1.48,Training,26
27,Halley,Brettor,hbrettorq@cdbaby.com,1.24,Training,27
28,Betta,Wabey,bwabeyr@google.ru,2.03,Accounting,28
29,Bathsheba,Blasiak,bblasiaks@dyndns.org,3.43,Legal,29
30,Dewie,Slyvester,dslyvestert@mapy.cz,2.87,Engineering,30
31,Silvie,Casperri,scasperriu@fda.gov,1.02,Human Resources,31
